iter	Passed	Remaining
0	320	320614
1	323	161271
2	324	107786
3	325	81032
4	326	64957
5	327	54232
6	328	46595
7	329	40887
8	330	36419
9	331	32834
10	332	29908
11	333	27463
12	334	25399
13	335	23627
14	336	22093
15	337	20744
16	338	19561
17	339	18518
18	340	17575
19	341	16735
20	342	15979
21	343	15283
22	344	14641
23	345	14055
24	346	13514
25	347	13015
26	348	12552
27	349	12123
28	350	11727
29	351	11356
30	352	11006
31	353	10682
32	354	10375
33	355	10086
34	356	9818
35	356	9559
36	357	9314
37	358	9081
38	359	8862
39	360	8653
40	361	8453
41	362	8262
42	363	8082
43	364	7909
44	364	7743
45	365	7586
46	366	7434
47	367	7292
48	368	7154
49	369	7024
50	370	6901
51	371	6780
52	372	6661
53	373	6547
54	374	6439
55	375	6332
56	376	6229
57	377	6130
58	378	6033
59	379	5940
60	380	5851
61	381	5764
62	381	5679
63	384	5620
64	385	5544
65	386	5468
66	387	5394
67	388	5322
68	389	5254
69	390	5188
70	391	5123
71	392	5058
72	393	4997
73	394	4937
74	395	4877
75	396	4820
76	397	4764
77	398	4710
78	399	4660
79	400	4610
80	401	4559
81	403	4511
82	403	4458
83	404	4411
84	405	4365
85	406	4319
86	407	4274
87	408	4231
88	409	4188
89	410	4148
90	411	4107
91	412	4068
92	413	4031
93	414	3994
94	415	3958
95	416	3923
96	417	3887
97	418	3852
98	419	3819
99	420	3785
100	421	3753
101	422	3721
102	423	3690
103	424	3660
104	425	3629
105	426	3599
106	427	3569
107	428	3541
108	429	3514
109	431	3487
110	432	3460
111	433	3433
112	434	3408
113	435	3387
114	436	3362
115	438	3338
116	438	3312
117	439	3288
118	440	3264
119	442	3246
120	444	3232
121	445	3209
122	446	3186
123	447	3164
124	448	3142
125	450	3122
126	450	3099
127	451	3077
128	452	3057
129	453	3036
130	454	3016
131	455	2996
132	456	2977
133	457	2959
134	459	2941
135	460	2923
136	461	2905
137	462	2887
138	463	2869
139	464	2852
140	465	2835
141	466	2816
142	467	2799
143	468	2783
144	469	2768
145	470	2753
146	473	2748
147	474	2732
148	475	2718
149	477	2704
150	479	2693
151	481	2685
152	482	2672
153	483	2657
154	484	2643
155	486	2629
156	487	2615
157	489	2608
158	491	2599
159	492	2585
160	493	2570
161	494	2559
162	495	2546
163	496	2533
164	497	2520
165	498	2506
166	500	2494
167	501	2481
168	503	2475
169	504	2464
170	505	2452
171	506	2439
172	507	2427
173	508	2415
174	509	2403
175	510	2391
176	511	2379
177	512	2367
178	513	2356
179	515	2346
180	516	2335
181	517	2323
182	518	2313
183	519	2303
184	520	2292
185	521	2282
186	522	2272
187	523	2262
188	524	2252
189	525	2242
190	526	2231
191	527	2221
192	529	2212
193	530	2201
194	530	2192
195	531	2182
196	533	2172
197	534	2163
198	535	2154
199	536	2145
200	537	2136
201	538	2127
202	539	2118
203	540	2109
204	541	2100
205	542	2092
206	544	2085
207	545	2077
208	547	2070
209	550	2069
210	551	2062
211	552	2055
212	555	2051
213	556	2045
214	557	2037
215	558	2028
216	560	2022
217	561	2014
218	562	2006
219	563	1999
220	565	1992
221	566	1984
222	567	1976
223	568	1968
224	569	1960
225	570	1953
226	571	1945
227	576	1953
228	578	1946
229	579	1939
230	580	1931
231	581	1924
232	582	1917
233	583	1910
234	584	1903
235	585	1895
236	586	1888
237	587	1882
238	589	1875
239	590	1868
240	591	1861
241	592	1855
242	593	1848
243	594	1841
244	595	1835
245	596	1829
246	597	1822
247	598	1815
248	599	1809
249	601	1803
250	602	1798
251	603	1791
252	604	1785
253	606	1780
254	607	1773
255	608	1767
256	609	1761
257	610	1755
258	611	1749
259	612	1743
260	613	1736
261	614	1730
262	615	1725
263	616	1719
264	618	1714
265	619	1708
266	620	1703
267	621	1698
268	622	1692
269	623	1686
270	625	1681
271	626	1675
272	627	1670
273	628	1665
274	629	1659
275	630	1654
276	631	1648
277	632	1643
278	633	1638
279	635	1632
280	636	1627
281	637	1621
282	638	1616
283	640	1614
284	642	1611
285	643	1606
286	645	1603
287	646	1598
288	648	1594
289	649	1589
290	650	1585
291	651	1580
292	653	1576
293	656	1575
294	657	1571
295	659	1567
296	661	1564
297	662	1561
298	664	1557
299	665	1552
300	666	1548
301	668	1544
302	671	1544
303	672	1540
304	674	1536
305	675	1532
306	676	1527
307	678	1523
308	679	1520
309	681	1516
310	682	1512
311	683	1508
312	684	1503
313	686	1499
314	687	1495
315	688	1490
316	689	1486
317	691	1481
318	692	1477
319	693	1472
320	694	1468
321	695	1464
322	696	1459
323	697	1455
324	698	1450
325	699	1446
326	701	1443
327	702	1438
328	703	1434
329	704	1429
330	705	1425
331	706	1421
332	707	1417
333	709	1414
334	710	1410
335	711	1406
336	712	1402
337	714	1400
338	716	1396
339	717	1392
340	718	1388
341	719	1384
342	721	1381
343	722	1377
344	723	1373
345	724	1369
346	725	1365
347	726	1361
348	727	1357
349	729	1354
350	730	1350
351	731	1347
352	733	1344
353	735	1342
354	737	1339
355	738	1335
356	739	1331
357	740	1327
358	741	1323
359	742	1320
360	743	1316
361	745	1313
362	746	1309
363	748	1307
364	749	1303
365	750	1299
366	751	1296
367	753	1293
368	754	1290
369	755	1286
370	756	1283
371	757	1279
372	759	1275
373	760	1272
374	761	1269
375	762	1266
376	763	1262
377	765	1259
378	766	1255
